DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Turbidity (FNU),TSS (mg/L)
8/22/2021,12:13:08 pm,ny2,,1.34468,103.68465,756.2,181.1,168.6,0.08,167.3,110,84,5520.9,-4,-4,10.89,0
8/22/2021,12:13:11 pm,ny2,,1.34468,103.68465,756.2,181.1,168.7,0.08,167.3,110,84,5521.2,-4,-4,6.2,0
8/22/2021,12:13:14 pm,ny2,,1.34468,103.68465,756.2,181.1,168.6,0.08,167.3,110,84,5521.2,-4,-4,2.23,0
8/22/2021,12:13:17 pm,ny2,,1.34468,103.68465,756.2,181.1,168.6,0.08,167.3,110,84,5520.9,-4,-4,2.19,0
8/22/2021,12:13:20 pm,ny2,,1.34468,103.68465,756.3,181.1,168.6,0.08,167.3,110,84,5520.9,-4,-4,2.17,0
8/22/2021,12:13:23 pm,ny2,,1.34469,103.68465,756.2,181.1,168.6,0.08,167.2,110,84,5521.2,-4,-4,2.12,0
8/22/2021,12:13:26 pm,ny2,,1.34469,103.68465,756.2,181.1,168.6,0.08,167.2,110,84,5520.9,-4,-4,2.13,0
8/22/2021,12:13:29 pm,ny2,,1.34469,103.68465,756.2,181.1,168.6,0.08,167.2,110,84,5520.9,-4,-4,2.09,0
8/22/2021,12:13:32 pm,ny2,,1.34469,103.68465,756.2,181.1,168.6,0.08,167.2,110,84,5520.9,-4,-4,2.13,0
8/22/2021,12:13:35 pm,ny2,,1.34469,103.68466,756.3,181.1,168.6,0.08,167.2,110,84,5521.2,-4,-4,2.16,0
8/22/2021,12:13:38 pm,ny2,,1.34468,103.68466,756.2,181.1,168.6,0.08,167.2,110,84,5521.8,-4,-4,2.19,0
8/22/2021,12:13:41 pm,ny2,,1.34467,103.68466,756.2,181.1,168.6,0.08,167.2,110,84,5523.3,-4,-4,2.18,0
8/22/2021,12:13:44 pm,ny2,,1.34467,103.68466,756.2,181,168.6,0.08,167.2,110,83.9,5524.9,-3.9,-3.9,2.24,0
8/22/2021,12:13:47 pm,ny2,,1.34466,103.68466,756.2,181,168.6,0.08,167.3,110,83.9,5526.1,-3.9,-3.9,2.28,0
8/22/2021,12:13:50 pm,ny2,,1.34466,103.68465,756.2,180.9,168.6,0.08,167.3,110,83.9,5527.3,-3.9,-3.9,2.31,0
8/22/2021,12:13:53 pm,ny2,,1.34465,103.68465,756.2,180.9,168.6,0.08,167.3,110,83.9,5528.2,-3.9,-3.9,2.36,0
8/22/2021,12:13:56 pm,ny2,,1.34465,103.68465,756.2,180.9,168.6,0.08,167.3,110,83.8,5529.1,-3.9,-3.9,2.4,0
8/22/2021,12:13:59 pm,ny2,,1.34465,103.68465,756.2,180.8,168.6,0.08,167.3,110,83.8,5530.1,-3.9,-3.9,2.34,0
8/22/2021,12:14:02 pm,ny2,,1.34465,103.68465,756.2,180.8,168.6,0.08,167.3,110,83.8,5530.4,-3.9,-3.9,2.35,0
8/22/2021,12:14:05 pm,ny2,,1.34464,103.68465,756.2,180.8,168.6,0.08,167.3,110,83.8,5530.1,-3.9,-3.9,2.31,0
8/22/2021,12:14:08 pm,ny2,,1.34464,103.68466,756.3,180.8,168.6,0.08,167.3,110,83.8,5529.8,-3.9,-3.9,2.28,0
8/22/2021,12:14:11 pm,ny2,,1.34464,103.68467,756.2,180.8,168.6,0.08,167.3,110,83.8,5529.8,-3.9,-3.9,2.28,0
